,,,,,,,,
file,width 1,error1,width 2,error 2,width 3,error3,width 4,
37,1.1,0.13,0.879,0.028,0.97,0.04,1,0.034
40,1,0.01,1.055,0.27,0.9552,0.023,1.13,0.05
44,1,0.6,0.94,0.06,0.98,0.08,0.94,0.15
55,1.3,0.029,1.11,0.04,1.1,0.06,1.21,0.12
75,1.2,0.9,1.21,0.1,1.14,0.14,1.2,1
82,1.4,0.021,1.21,0.04,1.44,0.06,1.48,0.1
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
file,"""mass 200""",error1,201,error2,202,error33,203,error4
37,8.23,0.23,11.42,0.031,15.38,0.04,19.43,0.2
40,8,1.2,11.496,0.027,15.505,0.008,19.37,0.08
44,8.7,0.4,11.63,0.05,15.58,0.07,19.23,0.2
55,7,1.2,11.1,0.06,15,0.06,19.05,0.16
75,6,10.44,10.44,0.13,14.41,0.13,18.17,0.31
82,7.5,0.05,10.92,0.05,14.9,0.07,19,0.11
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
dispersion,202-201,203-202,,,,,,
37,3.96,4.05,,,,,,
40,4.009,3.865,,,,,,
44,3.95,3.65,,,,,,
55,3.9,4.05,,,,,,
75,3.97,3.76,,,,,,
82,3.98,4.1,,,,,,
