	x	mx	xint	y	my	yint
0	0	5.084419177198422	29.415610056494188	0	5.229967374476042	-191.31194949048313
1	1	5.132636963003111	12.60791791205338	1	5.3142096092222495	-169.2130656774243
2	2	5.135098574480024	50.59079738807304	2	5.063421780467076	-21.890727553738543
3	3	5.057495912838709	-13.599086989265743	3	5.253228739206936	-122.21652917431493
4	4	5.319420794263567	-39.414060674064785	4	5.294725306434898	-193.45618958839623
5	5	5.355197487490643	-63.19819091314821	5	5.254331237281884	-98.41821878486371
6	6	5.220600938096519	32.77477962699504	6	5.16973174334915	-95.29499601345378
7	7	5.133970077033387	-80.5890041984967	7	5.321435625118565	-71.20493433738648
8	8	5.117433810658219	23.263339386936423	8	5.240996753321948	-134.52411342692903
9	9	5.32355411181717	-106.81099739639376	9	5.360190419901909	-220.1951280049243
10	10	5.1902022662899885	-21.11131134971947	10	5.291447207823733	-155.53681212435822
11	11	5.281575885737243	-67.20958620861347	11	5.484365848184677	-106.77676156995585
12	12	5.013845533055813	31.909529347543867	12	5.4668119632806444	-135.22629019320993
13	13	5.169888637207097	-99.5230257718149	13	5.269282315622524	-82.24212529738543
14	14	5.1472717448806184	-62.090718085268236	14	5.481995605655334	-464.01790026748677
15	15	5.387900867254462	-74.6824228827436	15	5.323830871162461	-107.73846953417433
16	16	5.642205857344366	-47.29078732551989	16	5.495896236695276	-8.574274848928326
17	17	5.601284710381368	-77.88896015623959	17	5.890965156950706	112.18949887764757
18	18	5.643663219784766	-50.933019429287015	18	5.844613530814785	-36.066300305579716
19	19	5.74651170363239	-134.12235727531697	19	5.78843031930781	46.46207308365592
20	20	5.766964998565301	-26.65489746714411	20	5.830776056570376	69.59194616496006
21	21	5.774003490499994	-2.2710550435022014	21	5.859390251405316	-45.31781979144216
22	22	5.74627361008565	-68.91769452899644	22	5.435620570771584	52.891644086298584
23	23	5.648392335278898	-29.47296417504822	23	6.217731957592192	49.83400096681453
24	24	5.802433631077775	-99.00131616378258	24	5.890249318046624	-42.905368493790775
25	25	5.7921899524689255	-132.13934512684318	25	6.101802862869749	-1.6183259778608772
26	26	5.7320963759372185	-29.873038459980307	26	5.850138925480232	14.064968493409651
27	27	5.723893882835199	-100.0764699281035	27	5.776260982596635	43.77530710278461
28	28	5.749769535267993	-82.3441835022868	28	5.9176827774349805	-11.027319307408106
29	29	5.684787838451748	-47.80643834460261	29	6.164976219083776	-69.93694213063918
30	30	5.652064784428188	-67.16461466032979	30	5.953096289868339	-10.317815426757079
31	31	5.588586981781276	-37.070454212650475	31	5.937806554672363	36.45628780532934
